Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidene interval);Burst size from Profile Likelihood(point estimate, and confidene interval);Mean expression
Ror2;[0.44222546 2.36131985 9.73558561];[0.44222546 0.32004067 0.62439412];[4.12294234 2.53712626 6.37133809];1.54
Sptlc1;[ 0.55822009 40.58192272 79.22812915];[0.58613109 0.43281407 0.74748408];[1.95230102 1.43538341 2.66137108];1.08
Sfxn1;[ 0.85680734  9.39137033 37.80844072];[0.85680734 0.65303453 1.11951024];[4.0258705  2.90036754 5.98461449];3.16
Cplx2;[6.76130934e-02 8.58201060e+01 9.15555847e+01];[0.06423244 0.03311551 0.15002213];[1.09883635 0.41460084 3.07538586];0.07
Thoc3;[ 0.44653437  2.60924199 20.94971829];[0.44653437 0.34033493 0.56957794];[ 8.02904384  5.74536369 11.82178514];3.06
4833439L19Rik;[  1.36810749 563.34178253 845.86071798];[1.36810749 1.07655039 1.76548927];[1.50150538 1.14372942 1.95576365];2.05
Nop16;[  0.70968601  89.71448128 676.15813172];[0.70968601 0.60190443 0.83155913];[7.53677803 6.2527914  9.29999325];5.31
Higd2a;[  1.80990207 166.36329543 266.96101784];[1.90039717 1.51784131 2.41789206];[1.50840578 1.18792471 1.93855225];2.87
Cltb;[ 0.87371394 19.17585677 62.2427866 ];[0.87371394 0.66196995 1.14047864];[3.24589338 2.37962156 4.80173184];2.71
Faf2;[ 0.75360438  1.94267842 12.46075528];[0.75360438 0.57785088 0.99727617];[6.41421408 4.2201929  9.41128601];3.48
Rnf44;[0.17582943 0.46789816 3.99697634];[0.17582943 0.0815756  0.2979482 ];[ 8.54240669  4.43644338 20.94371283];1.09
Tspan17;[  0.67023885  46.16451911 183.31575242];[0.67023885 0.52190738 0.81826803];[3.97092304 3.16075686 5.03517973];2.62
Uimc1;[0.08947106 0.20407541 2.77499855];[0.00447355        nan        nan];[13.59790762         nan         nan];0.85
Zfp346;[  0.34194299 155.35780402 180.08437112];[0.34194299 0.23279697 0.51087481];[1.15915883 0.73925466 1.81524969];0.4
Nsd1;[  1.1824519  197.05951755 260.90010592];[1.24157449 0.95998505 1.65840563];[1.24452806 0.92113443 1.65867049];1.56
Rab24;[ 0.53293457  2.37138465 17.2330897 ];[0.53293457 0.42085569 0.68226549];[ 7.26710013  5.07001021 10.11460276];3.16
Prelid1;[  1.56176878 228.8326985  527.78350658];[1.56176878 1.29604579 1.91542606];[2.30641648 1.83061382 2.8304653 ];3.58
Mxd3;[0.04081134 0.69013751 6.63563839];[0.04081134 0.02270178 0.06861829];[ 9.61495111  5.11476724 18.69630537];0.37
Lman2;[ 1.46212981  5.91359683 74.13451147];[1.46212981 1.21943098 1.83511149];[12.16019256  8.69875029 16.56180428];14.7
Grk6;[  0.74185369 138.37192469 286.82061358];[0.74185369 0.59061088 2.08470878];[2.07282376 1.57891656 2.70840775];1.53
Prr7;[0.04303183 0.4917898  2.12497028];[0.00215159        nan        nan];[4.32089133        nan        nan];0.17
Dbn1;[ 1.00017089 15.7166722  90.04860437];[1.00017089 0.80352591 1.23901253];[5.72949561 4.27243785 7.88416072];5.39
Pdlim7;[ 1.13790047  2.52503835 38.53503511];[1.13790047 0.94579232 1.37921926];[15.26116824 11.43797007 20.09142951];11.97
Ddx41;[  0.72226102 221.3799172  641.47402726];[0.72226102 0.58803199 0.89101457];[2.89761617 2.27741849 3.71348455];2.09
Fam193b;[ 0.20488999 12.36846196 24.11266064];[0.20488999 0.10880338 0.31849417];[1.94952782 1.16447708 4.16436525];0.39
Tmed9;[ 1.05335346  2.97539253 73.09144931];[1.05335346 0.89449118 1.24327698];[24.5653132  19.39787447 30.82224421];19.11
Caml;[  1.28129038 249.80883714 344.10355407];[1.28129038 0.98890673 1.63449412];[1.3774675  1.05569442 1.82425904];1.76
Ddx46;[  0.60559882  88.54279406 361.12746486];[0.60559882 0.49998888 0.7408992 ];[4.07856414 3.22101008 5.22758804];2.45
B230219D22Rik;[0.11231445 0.32120049 4.03269357];[0.11231445 0.03095877 0.21101711];[12.55506686         nan         nan];1.04
Txndc15;[ 0.62101974  2.91410435 15.65898952];[0.62101974 0.47608726 0.82064924];[5.37351709 3.56891518 7.83911605];2.75
H2afy;[  0.3677519   27.8963211  187.96758324];[0.38613949 0.32170093 0.45869478];[6.73807785 5.21119248 9.08034942];2.45
Cxcl14;[6.80690973e-02 2.13876589e+01 5.83213799e+02];[0.0680691  0.0537525  0.08689396];[27.2687067  18.06429851 43.28554519];1.85
Tgfbi;[3.98991090e-02 1.84795251e+01 8.46865812e+01];[0.04189406 0.02392775 0.06162024];[ 4.58272498  2.36464172 10.06838803];0.18
Smad5;[  0.72293703  78.82331765 176.88364199];[0.75908388 0.57785627 0.9270021 ];[2.24405223 1.71909708 2.93149125];1.61
Hnrnpa0;[  2.45561794 437.46408834 441.8888142 ];[2.45561794 1.91371784 3.26068728];[1.01011449 0.74976922 1.3134878 ];2.47
Ubqln1;[ 0.97587859  4.81643983 27.09219258];[0.97587859 0.76323608 1.28517949];[5.62494156 3.64823333 8.06642715];4.56
Gkap1;[ 0.14456311  6.62783812 10.81458765];[0.14456311 0.05827556 0.25811288];[1.63169158 0.83452671 4.56545576];0.23
2210016F16Rik;[ 0.54350645  0.9129044  12.35203115];[0.54350645 0.42323021 0.69722205];[13.53047614  9.49616168 19.14817002];4.61
Rmi1;[ 0.09485065  6.46605214 31.23006626];[0.09959318 0.06182855 0.14863905];[4.82985067 2.79321304 8.55003125];0.45
Ntrk2;[3.77181459e-03 4.29434387e-01 4.11466803e+00];[0.00018859        nan        nan];[9.58159884        nan        nan];0.04
Agtpbp1;[0.05340167 0.42555539 3.32989157];[2.08166817e-17            nan            nan];[7.82481344        nan        nan];0.37
Naa35;[ 1.09253398 12.1822362  18.64948591];[1.09253398 0.66948379 1.63739128];[1.53087542 0.93771539 3.22670411];1.53
Golm1;[ 0.56760272  1.26828241 13.64454466];[0.56760272 0.45387247 0.71243899];[10.75828582  7.82731168 14.61454462];4.22
Zcchc6;[0.21311236 1.02394087 7.99289647];[0.21311236 0.15057977 0.30321878];[ 7.80601369  4.91401247 12.10396626];1.38
Dapk1;[ 0.31419069 46.10159657 75.73750639];[0.31419069 0.22588641 0.44547075];[1.64283912 1.0982978  2.45668223];0.51
4930486L24Rik;[0.02601765 2.42383192 5.06077867];[1.73472348e-17            nan            nan];[2.08792475        nan        nan];0.05
Ctla2b;[0.01256536 0.91346175 9.75442653];[0.01256536 0.00545976 0.02718904];[10.67852768  3.88373715 28.79499005];0.13
Ctla2a;[7.77514508e-02 1.17013481e+01 9.91439246e+01];[0.07775145 0.0572928  0.10514531];[ 8.47286345  5.53474852 13.77247286];0.65
6720489N17Rik;[ 0.06279249  4.14169479 14.53059492];[0.06279249 0.034052   0.10758598];[3.50836931 1.7633024  7.41430123];0.22
Fancc;[ 0.20597349 52.65042142 53.73842633];[0.20597349 0.12684764 0.35447949];[1.0206647  0.55409677 1.84262425];0.21
Slc35d2;[ 0.18268947  5.44158382 20.37088874];[0.18268947 0.11338757 0.27768392];[3.74355876 2.29657744 6.8124646 ];0.66
Cdc14b;[0.12883302 1.64557785 8.5604113 ];[0.12883302 0.08367808 0.2013655 ];[5.20207009 2.98554595 8.81712591];0.62
Ctsl;[   1.46801012   50.50209078 1392.21405108];[ 1.61481113 -7.049919    1.7413507 ];[27.56745373 23.80406879 32.41510608];39.33
Hiatl1;[  0.78632538 122.0716113  196.87625   ];[0.82564165 0.62426669 1.0676685 ];[1.56440929 1.1611936  2.09665704];1.26
Mterfd1;[0.26704508 1.24370062 8.8449852 ];[0.26704508 0.19404983 0.36638794];[ 7.11182824  4.68514163 10.70994632];1.56
Zfp759;[0.0263407  0.55938298 1.82202327];[0.00131703        nan        nan];[3.25720183        nan        nan];0.08
Rsl1;[ 0.07579217 11.37387489 13.80079224];[0.00378961        nan        nan];[1.21337648        nan        nan];0.09
Zfp455;[ 0.03623452  8.11244802 11.14632856];[0.03623452 0.01409963 0.09639883];[1.37397843        nan        nan];0.05
Zfp458;[0.02731982 0.90066267 1.55183009];[0.00136599        nan        nan];[1.72298702        nan        nan];0.05
Zfp595;[0.14999649 0.97560257 1.1413388 ];[0.14999649 0.02182792 0.64150874];[1.16988089        nan        nan];0.15
Zfp429;[ 0.10134952 12.43832917 17.37232622];[0.106417   0.06110265 0.19085296];[1.39667684 0.66434861 2.85954779];0.14
Zfp58;[0.21871362 0.92551441 1.27077048];[0.21871362 0.02420648 0.841127  ];[1.37304235        nan        nan];0.24
Zfp87;[0.12195394 1.27835466 3.10963793];[0.0060977       nan       nan];[2.43253146        nan        nan];0.27
Zfp748;[0.14008786 2.01153848 3.37585063];[0.00700439        nan        nan];[1.67824312        nan        nan];0.22
Mtrr;[ 0.35656128 25.94581069 47.47920731];[0.35656128 0.24139053 0.49581636];[1.82993732 1.28254792 2.67572575];0.64
Adcy2;[3.48010121e-02 2.29337856e+01 9.93989235e+01];[0.03480101 0.02068334 0.0715745 ];[ 4.33416992  2.13700123 10.10930358];0.15
Papd7;[0.02947294 0.20977243 3.05362283];[0.00147365        nan        nan];[14.55683572         nan         nan];0.38
Nsun2;[  1.1861219   31.84931166 113.90408032];[1.1268158  0.84445364 1.4573781 ];[3.57634355 2.759143   4.45124849];4.09
Srd5a1;[ 0.05934455  9.18482366 27.39842043];[0.065279   0.03985519 0.10294137];[2.98300996 1.51461271 5.97514481];0.18
Irx2;[ 0.23527079 15.31540875 17.28834399];[0.23527079 0.08805006 0.41194071];[1.12882028 0.59995561 3.56882082];0.26
Ndufs6;[ 1.65499884  6.84340027 37.39542636];[1.65499884 1.28461541 2.19334286];[5.46445113 3.48933929 8.10830338];7.28
Mrpl36;[  1.41972429  57.18703422 147.16691489];[1.27775186 0.94372933 1.74567202];[2.57343149 2.05589212 3.22396271];3.57
Clptm1l;[  2.09952442 256.90702029 842.73165009];[2.09952442 1.78457903 2.53028615];[3.18188931 2.64890904 3.90750297];6.83
Tert;[ 0.06564876 39.9570537  52.33566384];[0.06564876 0.03350338 0.13958292];[1.30979787 0.54750607 3.24708224];0.09
Slc12a7;[0.16293427 1.12157549 2.58071325];[2.77555756e-17            nan            nan];[2.3009715       nan       nan];0.33
Nkd2;[1.15531017e-01 8.82247589e+01 7.18073691e+02];[0.11553102 0.09467154 0.14020774];[ 7.89496609  5.44177537 11.85780154];0.94
Trip13;[0.09929059 0.75860448 6.0086923 ];[0.09929059 0.0568447  0.15310227];[ 7.92071818  4.67904945 14.98735002];0.7
Tppp;[2.57421917e-03 4.14174611e-01 3.72863134e+00];[0.00012871        nan        nan];[9.00255892        nan        nan];0.02
Exoc3;[ 0.655195    2.25161033 14.58054592];[0.655195   0.50564219 0.85509003];[6.47560802 4.39545464 9.35717171];3.29
Ahrr;[ 0.19278725  8.68863401 19.47170871];[0.19278725 0.11572124 0.29377388];[2.24105523 1.34757936 4.19869888];0.42
Pdcd6;[2.19590764e+00 5.50608463e+02 3.46779271e+03];[2.19590764        nan        nan];[6.10916678 5.21907507 7.28936089];13.78
Sdha;[ 1.28906633  3.92185965 42.57467276];[1.28906633 1.06481065 1.58138454];[10.85573594  7.92526297 14.52788888];10.53
Ccdc127;[ 0.83428898  2.69112624 17.11537413];[0.83428898 0.64798387 1.0905368 ];[6.35992987 4.23527637 9.1933649 ];4.05
Zfp825;[0.11469551 1.49705703 4.09848921];[0.11469551 0.04705369 0.22357889];[2.73769745 1.23337032 7.33249605];0.29
Erap1;[ 0.43342553 37.34110506 55.63071613];[0.43342553 0.31467905 0.58282574];[1.48979833 1.00879985 2.18176737];0.64
Cast;[  0.85743767 219.62301305 640.50322734];[0.85743767 0.71065467 1.04969029];[2.91637574 2.30952165 3.68294666];2.49
Ell2;[  0.64357745 101.80344527 174.29248748];[0.64357745 0.48530814 0.91197882];[1.66068754 1.15442618 2.38305331];1.09
Ankrd32;[0.00623094 0.04375573 1.83339051];[0.00031155        nan        nan];[41.90058375         nan         nan];0.23
Fam172a;[ 0.38639671  8.01402655 14.4624641 ];[0.40571654 0.23960635 0.58553795];[1.64222595 1.08138404 3.351537  ];0.67
Polr3g;[ 0.08291102 35.29209168 72.8937344 ];[0.08291102 0.05309842 0.14305749];[2.0034778  1.06130615 4.03960539];0.17
Mblac2;[0.14917166 2.51819271 5.85655881];[0.14917166 0.07170272 0.26602291];[2.32569922 1.17425589 5.38342488];0.33
Tmem161b;[ 0.20058239 12.46409594 17.69702813];[0.21061151 0.01089503 0.33962624];[1.41984049 0.76931067 2.73927756];0.28
Rasa1;[0.31221534 1.38191157 6.81807739];[0.31221534 0.20705081 0.46616587];[4.93380153 2.88869992 8.35993583];1.26
Cox7c;[ 2.60267852 15.40021144 77.39337668];[2.47254459 1.91434265 3.39508955];[5.47776769 3.46295127 8.44335583];11.19
Edil3;[ 0.09049067 36.53701921 46.43382595];[0.0950152  0.0501322  0.18289609];[1.19461843 0.56257805 2.68232446];0.11
Vcan;[8.71979765e-01 1.51352099e+02 1.28367147e+03];[0.87197977 0.74608983 1.01861092];[ 8.48135889  7.07286203 10.27398794];7.35
Xrcc4;[0.15897208 2.64086644 8.96296282];[0.15897208 0.09911354 0.25325396];[3.39394779 1.90265067 6.02612156];0.51
Tmem167;[  2.01812824 150.20134848 551.74566741];[2.01812824 0.9196094  2.41431903];[3.67337359 3.0674717  4.48765266];7.32
Atg10;[0.35336118 1.73791122 6.46310489];[0.35336118 0.2403709  0.52479635];[3.71889245 2.17843067 6.11761856];1.09
Ssbp2;[ 0.33422203  3.45122635 10.45420366];[0.33422203 0.20516872 0.50387647];[3.02912722 1.81272198 5.73270238];0.92
Zcchc9;[  1.2441351  193.34567123 235.76237069];[1.2441351  0.9490696  1.67054104];[1.21938272 0.88998564 1.64281573];1.51
Msh3;[1.05991464e-01 8.14385976e+01 1.13443451e+02];[0.10599146 0.038962   0.18657547];[1.39299367 0.7044748  2.76455538];0.15
Dhfr;[0.08085739 0.74641759 8.3508613 ];[0.08085739 0.05358218 0.11677494];[11.18792134  7.1071899  18.11382832];0.82
Zfyve16;[0.36973989 1.56198158 3.16420662];[0.36973989 0.10724392 0.78546965];[2.02576436        nan        nan];0.61
Thbs4;[5.61574413e-02 1.44132555e+00 1.22368070e+02];[0.05615744 0.04451879 0.07071958];[ 84.89967489  60.32363661 125.11520968];4.59
Jmy;[  0.62741974  82.46279671 125.25741068];[0.62741974 0.47508178 0.85206715];[1.51895662 1.08839711 2.09857725];0.95
Arsb;[  0.64590014 193.8334466  379.37370539];[0.64590014 0.50613452 0.83543889];[1.95721488 1.46504227 2.61059741];1.26
Lhfpl2;[ 0.5899799   5.68604946 37.3674253 ];[0.5899799  0.4746291  0.73831661];[6.57177282 4.91888711 8.88390352];3.51
Scamp1;[  0.89263082 133.72664758 191.24504951];[0.89263082 0.6958403  1.17343875];[1.43011922 1.06750386 1.90048451];1.27
Ap3b1;[  0.59675421  98.76513423 166.1992249 ];[0.59675421 0.4508107  0.80627042];[1.68277223 1.20543742 2.34701437];1.0
Tbca;[  2.58671472 340.00164694 513.98494759];[2.58671472 2.0863499  3.33127363];[1.51171311 1.18919177 1.89360797];3.88
Pde8b;[ 0.11613178  7.6050088  10.791377  ];[0.12774496 0.07264457 0.22556539];[1.29127439 0.67038748 2.59309742];0.16
Aggf1;[  0.54209147  85.26147296 198.67818651];[0.56919604 0.42937722 0.69934101];[2.33022231 1.75923371 3.11060813];1.26
F2r;[ 0.58860045  3.81423184 18.55888712];[0.58860045 0.4607184  0.80156349];[4.71972372 3.10268234 6.81832118];2.48
Poc5;[0.25843695 1.72364641 3.51171221];[0.25843695 0.08820472 0.51512848];[2.0373739  0.85576898 7.22665423];0.46
Polk;[  0.60137728 147.40432404 219.96157136];[0.60137728 0.46507618 0.8119999 ];[1.49223283 1.06433578 2.04450794];0.89
Col4a3bp;[0.30690217 2.44592374 4.80187885];[0.30690217 0.14131545 0.56743451];[1.96321692 0.90543279 5.09365136];0.54
Hmgcr;[  0.69425212 115.07861988 170.61359463];[0.69425212 0.53259537 0.94538052];[1.48258291 1.07383255 2.00938655];1.02
Gcnt4;[0.17736101 3.06669055 7.52647501];[0.17736101 0.10119332 0.29591373];[2.45426621 1.30901954 4.77610194];0.41
Nsa2;[ 0.43651287  2.79423123 10.9415125 ];[0.43651287 0.31204767 0.63002468];[3.91575056 2.35812279 6.14095615];1.48
Gfm2;[ 0.52370836 40.48070874 65.20909208];[0.52370836 0.39390185 0.72261224];[1.61086834 1.1497933  2.25521675];0.83
Hexb;[ 0.5869944  28.38915872 52.13552561];[0.5869944  0.39125759 0.79940847];[1.83645898 1.28269012 2.51985261];1.06
Enc1;[  1.29847454 587.19315575 720.49515034];[1.29847454 1.05641778 1.67891672];[1.22701558 0.92923651 1.602931  ];1.59
Ankra2;[0.82987131 3.76702326 5.79834084];[0.82987131 0.38505787 1.55039638];[1.5392368  0.66491441 4.69097785];1.05
Btf3;[  0.64294548   5.52673985 115.94894186];[0.64294548 0.52310898 0.790159  ];[20.97962722 15.99559535 27.35385483];12.08
Tmem171;[0.02385902 2.71748071 5.13842507];[0.00119295        nan        nan];[1.89087821        nan        nan];0.04
Ptcd2;[0.24198784 1.34364038 6.14732595];[0.24198784 0.16296866 0.35820346];[4.57512741 2.75338674 7.4730779 ];0.94
Mrps27;[ 0.52721331 11.22030851 31.96697106];[0.52721331 0.38443287 0.71080357];[2.84902782 2.01450328 4.41426158];1.43
Bdp1;[  0.74501065 106.98515792 206.08023175];[0.74501065 0.58140493 0.95566482];[1.92625067 1.459068   2.5745421 ];1.43
Serf1;[ 0.72232208  4.75264841 31.49912987];[0.72232208 0.56660065 0.92259962];[6.62770043 4.69286671 9.370095  ];4.16
Smn1;[  0.9130106   54.83352487 121.85079035];[0.9130106  0.66016996 1.1661612 ];[2.2221951  1.68679036 2.86684825];2.0
Gtf2h2;[ 0.78568342  8.91812338 12.00075008];[0.78568342 0.37534848 1.24535962];[1.34565867 0.77224629 3.91163145];0.97
Rad17;[  0.49923339  76.41136294 132.40524771];[0.49923339 0.36665461 0.69197555];[1.73279526 1.20133137 2.50624711];0.86
Taf9;[  0.61862521  43.21433733 271.10481529];[0.61862521 0.52760497 0.73950535];[6.27349236 5.06960333 7.72669655];3.83
Cdk7;[  0.93362588 123.38580931 610.14677413];[0.93362588 0.78778368 1.10710797];[4.94503199 4.0616072  6.06747908];4.58
Cenph;[ 0.17508748 11.35753673 25.03473184];[0.17508748 0.10111234 0.25930079];[2.20423957 1.35624353 4.2522118 ];0.38
Slc30a5;[ 0.68721341 26.71691779 45.23286134];[0.68721341 0.45016076 0.93609436];[1.6930419  1.17491224 3.08065292];1.13
Pik3r1;[0.24752639 2.22275342 8.47895377];[0.24752639 0.16726993 0.38364754];[3.81461736 2.16005133 6.24860002];0.85
Srek1;[  0.66376208  95.54857158 197.51856989];[0.66376208 0.52187897 0.8504009 ];[2.06720589 1.56358431 2.74945561];1.36
Erbb2ip;[ 0.53341436 24.05430698 54.77399752];[0.53341436 0.36666019 0.71994603];[2.2770973  1.59954308 3.11567787];1.19
Nln;[0.45871584 4.83764428 9.33230991];[0.45871584 0.27904623 0.72919822];[1.87122907 1.10778183 3.73236894];0.81
Ppwd1;[0.12985082 0.83267221 4.57101389];[0.12985082 0.04315254 0.25132134];[ 5.48957179  2.43309417 18.83070116];0.62
Cenpk;[0.06985312 0.47017479 4.47142273];[0.06985312 0.02774812 0.12948782];[ 9.51012871  4.59493161 25.85230273];0.58
Cwc27;[  0.57151071 116.49473785 155.3512042 ];[0.57151071 0.42600505 0.79599455];[1.33354697 0.9399925  1.87729744];0.76
Srek1ip1;[0.3190116  0.48233752 9.91908648];[0.3190116  0.23046732 0.43131874];[20.56461724 13.70376271 31.59548058];3.95
Ipo11;[0.42971189 3.75650658 8.20469371];[0.42971189 0.25021859 0.70604405];[2.18412867 1.19666382 4.45729235];0.84
Kif2a;[ 0.44984771  2.35928403 11.93421612];[0.44984771 0.33693624 0.61395342];[5.05840584 3.26928455 7.48061331];1.91
Zswim6;[ 0.51952128 22.21268848 87.07299943];[0.51952128 0.39329483 0.6629984 ];[3.91996671 2.99858478 5.17225233];1.99
Ndufaf2;[ 0.52768124  3.09327611 16.68376424];[0.52768124 0.40776408 0.69241284];[5.39355804 3.67180585 7.67709811];2.43
Ercc8;[  0.30148994  80.19145355 179.57809025];[0.31656443 0.23240093 0.42088558];[2.10500493 1.48689209 3.04945392];0.67
Depdc1b;[0.05167402 3.68443716 4.22174778];[0.06200883 0.02443508 0.16510249];[0.97395761 0.3192337  2.95994712];0.06
Pde4d;[ 0.57284734 61.8628914  77.74789826];[0.57284734 0.41932882 0.8057216 ];[1.25677763 0.87031582 1.8091031 ];0.71
Plk2;[5.21427441e-01 1.40212037e+02 8.04071459e+02];[0.52142744 0.43486621 0.62377893];[5.73468209 4.59008554 7.24595079];2.98
Gpbp1;[0.26090229 0.40404043 4.78525032];[0.26090229 0.143156   0.41275151];[11.84349369  6.49599307 25.13193797];1.88
Ankrd55;[ 0.18699504 72.38136481 85.23791966];[0.18699504 0.11926472 0.3135065 ];[1.17762244 0.65632735 2.09304818];0.22
Il6st;[  0.94885919 119.63286709 688.80454278];[0.94885919 0.80880212 1.12504804];[5.75765306 4.72792849 6.96928832];5.42
Ppap2a;[1.08604939e+00 1.62057923e+02 2.67626208e+03];[1.14035186 0.98606593 1.29282255];[15.52337776 13.28041132 18.32231426];17.82
Skiv2l2;[ 0.78379953 45.29898968 89.82288668];[0.70541957 0.48791866 1.01748026];[1.9828894  1.4935504  2.63468247];1.53
Ccno;[5.95282648e-02 6.42065731e+01 1.13237328e+02];[0.05952826 0.03620836 0.1128645 ];[1.76364073 0.81645093 4.197985  ];0.1
Gpx8;[  1.99684896  15.0127414  109.55841336];[1.99684896 1.60984438 2.5277392 ];[ 7.29769536  5.2988502  10.17167574];12.86
Esm1;[0.00769861 1.32582715 4.72886151];[0.00038493        nan        nan];[3.56672549        nan        nan];0.03
Snx18;[  0.70349455 105.24028059 121.26647224];[0.70349455 0.51586889 0.97389679];[1.15228192 0.8108896  1.64673681];0.81
Ndufs4;[ 0.94392343  1.74736402 14.47414071];[0.94392343 0.72236782 1.24732768];[ 8.28341463  5.4109523  12.31914384];5.08
Mocs2;[ 0.71480135  3.45860089 12.7285569 ];[0.71480135 0.52379082 1.02461796];[3.68026185 2.1851701  5.73950339];2.18
Itga1;[ 0.22751442 10.54108273 15.19607978];[0.22751442 0.11470234 0.36820569];[1.44160521 0.8185217  3.26992574];0.32
Emb;[ 0.46745831  9.64562719 57.7434547 ];[0.46745831 0.37261158 0.58792851];[5.98649042 4.53865939 8.19511731];2.67
Mrps30;[ 0.77941615  3.93963624 11.44647922];[0.77941615 0.53878522 1.18538181];[2.90546602 1.59396158 4.95717576];1.89
