Gene;Maximum likelihood (kon, koff, ksyn);Burst frequency from Profile Likelihood (estimate, and lower and upper confidence interval);Burst size from Profile Likelihood (point estimate, and lower and upper confidence interval);Mean expression
Hnrnph1;[ 0.59956283 14.8573146  91.43063936];[0.56958469 0.45618614 0.72793084];[6.15391421 4.88094656 7.84952283];3.55
Rufy1;[  0.27218882 133.44717853 258.13857972];[0.27218882 0.10541842 0.38212129];[1.93438769 1.29906163 2.87491504];0.53
Adamts2;[ 0.36779542  4.23563423 22.87950818];[0.36779542 0.28185988 0.49035759];[5.40167232 3.78221034 7.74712658];1.83
Zfp354c;[0.08571047 1.81076265 4.15382923];[0.00428552        nan        nan];[2.29396671        nan        nan];0.19
Zfp2;[0.13446299 1.48645829 1.51385872];[5.55111512e-17            nan            nan];[1.01843337        nan        nan];0.13
Hnrnpab;[1.45403722e+00 1.57816562e+02 1.46977459e+03];[1.45403722        nan        nan];[ 9.03378793  7.70772951 10.72155964];13.42
Nhp2;[  1.1888368  100.13706914 439.18797406];[1.1888368  1.00506842 1.41908846];[4.38586807 3.63172827 5.34299115];5.15
Rmnd5b;[0.23875527 0.51748115 4.15056071];[0.23875527 0.11471729 0.41768506];[ 8.02069926  3.8343586  19.59516014];1.31
0610009B22Rik;[ 1.16701711 11.78732709 43.10244768];[1.16701711 0.89034788 1.53614226];[3.65667698 2.47744654 5.48608941];3.88
Sar1b;[ 1.29415518 23.82431468 86.63849607];[1.29415518 0.99433235 1.63907217];[3.63655774 2.74657171 5.4384516 ];4.46
Cdkn2aipnl;[3.39304202e-01 1.01520992e+02 3.45888552e+02];[0.3393042 0.2674259 0.4298959];[3.40706433 2.53738524 4.64567465];1.15
Ube2b;[ 0.09736629  0.5797918  22.37344757];[0.09736629 0.04912063 0.18060232];[38.58876176 16.52309743 91.74727179];3.22
Ppp2ca;[ 1.46444357  4.11939912 27.42851222];[1.46444357 1.12705926 1.95807633];[6.65837697 4.17262295 9.88348198];7.19
Skp1a;[ 1.16588618  4.67256608 57.54886797];[1.16588618 0.96805843 1.41356235];[12.31633047  9.22011853 16.28948913];11.49
Vdac1;[  1.74691289 285.08191843 612.52336168];[1.74691289 1.46649526 2.19323763];[2.08412959 1.68810676 2.60348106];3.73
9530068E07Rik;[ 1.00020444  4.30325765 31.56613392];[1.00020444 0.80550535 1.2634511 ];[ 7.33540413  5.0954081  10.11052162];5.95
Hspa4;[ 1.11143998  5.73439888 42.43788102];[1.11143998 0.88912651 1.43262074];[ 7.40058058  4.92242221 10.27121972];6.89
Zcchc10;[ 0.51749911 58.40551748 97.12723088];[0.51749911 0.38763253 0.70569328];[1.6629804  1.1754371  2.34784068];0.85
Aff4;[  0.2792251   19.55356235 103.04845263];[0.2792251  0.21404149 0.36495035];[5.2700603  3.77510611 7.5710376 ];1.45
Shroom1;[0.04119802 1.27615497 3.38202529];[0.0020599       nan       nan];[2.65016817        nan        nan];0.11
8-sep;[  0.42674252 145.09595934 350.47126973];[0.42674252 0.34086827 0.55937486];[2.41544473 1.75520825 3.27377171];1.03
Kif3a;[ 0.4637873   2.95223731 11.15634746];[0.4637873  0.33228749 0.67564715];[3.77894671 2.22424087 5.91794394];1.51
Rad50;[ 0.42349031  2.86385185 15.27810712];[0.42349031 0.31666901 0.5662612 ];[5.33481058 3.57762697 7.93452194];1.97
Irf1;[0.1741844  2.63267549 8.40766443];[0.1741844  0.10780869 0.28082104];[3.19358176 1.80616836 5.71278033];0.52
Slc22a4;[0.00746335 0.58345188 2.88562689];[6.07153217e-18            nan            nan];[4.94578382        nan        nan];0.04
Pdlim4;[ 0.09742738  6.46992156 43.82696583];[0.09742738 0.07329966 0.13772282];[ 6.77395628  4.52609676 10.56701232];0.65
P4ha2;[ 1.0133548   8.29508851 57.7188424 ];[1.0133548  0.79790848 1.26045414];[7.37568657 4.99385806 9.96535521];6.28
Fnip1;[  0.56879817  92.74070849 118.28896131];[0.56879817 0.40375803 0.8295036 ];[1.27548046 0.84641523 1.90519132];0.72
Rapgef6;[0.08477273 0.69161744 5.34714138];[0.08477273 0.04764238 0.14098715];[ 7.73135704  4.17990925 14.87187473];0.58
Cdc42se2;[ 0.37473062  2.53879741 16.85505598];[0.37473062 0.28239964 0.49999719];[6.63899211 4.49404215 9.65430688];2.17
Hint1;[   2.27635213  143.44992214 1119.01996831];[2.27635213 1.96440401 2.64881196];[7.80077083 6.63812872 9.15611939];17.48
Gpx3;[1.89946556e-01 4.01084688e+01 1.07487182e+03];[0.18994656 0.16034355 0.22469497];[26.79912371 20.71172166 36.01966965];5.07
Tnip1;[ 0.68177056 10.47869181 12.41222963];[0.71585909 0.36567029 1.08618348];[1.11344966 0.68586395 2.82351897];0.76
Anxa6;[ 0.67727502  3.82523965 69.11804258];[0.67727502 0.57542645 0.80061519];[18.06894443 14.22938397 22.63995973];10.4
Sparc;[   2.50895284   30.2150008  1592.10446297];[2.50895284        nan        nan];[52.69251765 45.0212377  61.37532606];122.07
Atox1;[   2.3951543   408.03547339 1486.40410868];[2.3951543  2.01966393 2.83349299];[3.6428306  3.05152031 4.39480189];8.67
Fam114a2;[  1.29813943 672.90961478 957.37284341];[1.29813943 1.00757346 1.67883795];[1.42273616 1.08138894 1.88528929];1.84
Galnt10;[ 0.8331949  19.49573671 47.20183521];[0.8331949  0.59347461 1.09482192];[2.42113627 1.72081813 3.99839064];1.93
Sap30l;[ 0.20701834 20.07965185 29.17453222];[0.20701834 0.13661491 0.33934718];[0.9734699       nan       nan];0.3
Sh3bp5l;[0.21680669 1.04368038 2.60249154];[2.77555756e-17            nan            nan];[2.4935714       nan       nan];0.45
Rnf187;[  1.12136912 153.50061577 590.36714039];[1.12136912 0.93831651 1.34920815];[3.84602457 3.12478983 4.74987373];4.28
Hist3h2a;[  0.6650365  115.78931581 119.70874066];[0.6650365  0.48162219 0.964311  ];[1.03384962 0.69717258 1.49413612];0.68
Trim11;[ 0.7224526  28.19569803 65.56553198];[0.7224526  0.51782814 0.95135106];[2.3253736  1.68938537 3.07374686];1.64
Guk1;[  1.03559245  44.44432546 208.39337738];[0.93203321 0.76157049 1.20073474];[4.68886354 3.85060428 5.74564972];4.75
2310033P09Rik;[0.07465527 1.5525587  7.35274002];[0.07465527 0.04092506 0.13332254];[4.73588536 2.27587527 9.53963146];0.34
Snap47;[ 0.80893915 15.09233411 87.24948461];[0.7684922  0.6133699  0.99138057];[6.82163482 4.55853504 8.82234817];4.44
Jmjd4;[0.14161772 0.57129097 1.82271725];[8.32667268e-17            nan            nan];[3.19052345        nan        nan];0.36
Zfp867;[0.09369622 0.66899311 1.26990029];[0.00468481        nan        nan];[1.89822628        nan        nan];0.16
Zkscan17;[  0.3932713  166.34874056 330.64147899];[0.3932713  0.30212188 0.5250369 ];[1.98764041 1.4095879  2.81571818];0.78
Mprip;[ 1.44538729  7.27433057 46.3685013 ];[1.44538729 1.15599814 1.8329209 ];[6.3742637  4.451033   8.92621383];7.69
Flcn;[  0.5446808  160.78550983 288.35508028];[0.5446808  0.42990838 0.73213177];[1.73961216 1.28031605 2.41062333];0.97
Cops3;[ 0.94035634  3.65673456 12.9934618 ];[0.94035634 0.68211204 1.36724621];[3.55329641 1.95428251 5.74428927];2.66
Med9;[  0.57529263 151.48028595 356.37677545];[0.57529263 0.45464894 0.73964514];[2.35262809 1.7634979  3.16916942];1.35
Pemt;[ 0.35284312 15.91450769 16.96656181];[0.35284312 0.15373816 0.59311186];[1.06610661 0.60879236 2.98691188];0.37
Rai1;[0.33299468 1.32179811 6.12354476];[0.33299468 0.20265579 0.54481645];[4.63273833 2.35637803 8.8338787 ];1.23
Srebf1;[  0.64525286 269.91167918 474.37316598];[0.64525286 0.49071147 0.8495391 ];[1.75751256 1.29067396 2.39283344];1.13
Tom1l2;[  0.2815628   99.82204729 253.17668728];[0.2815628  0.21786612 0.3757498 ];[2.53628025 1.78072404 3.6335123 ];0.71
Atpaf2;[  0.52496198  99.34508594 257.32803516];[0.55121008 0.42049335 0.69760198];[2.59024423 1.92419508 3.41595748];1.35
Drg2;[  0.9101134  200.06182894 578.43120684];[0.9101134  0.75275888 1.11277216];[2.89126222 2.30248611 3.64014538];2.62
Alkbh5;[ 0.51353974 12.29442718 12.40567907];[0.51353974 0.23157395 0.88093242];[1.00904897 0.55282414 2.86288306];0.5
Llgl1;[6.34187058e-01 8.15864266e+02 8.26057718e+02];[0.66589641 0.54381349 0.97700242];[0.7998703       nan       nan];0.64
Flii;[ 0.86504146  5.48056487 21.85564133];[0.86504146 0.65808816 1.17580829];[3.98784465 2.53869543 5.95503917];2.98
Top3a;[0.09453959 0.77220403 1.83471307];[1.38777878e-17            nan            nan];[2.37594341        nan        nan];0.2
Smcr8;[0.08833773 0.18150629 1.04339804];[5.55111512e-17            nan            nan];[5.74855045        nan        nan];0.34
Shmt1;[ 0.13138254  2.4321825  10.48409697];[0.13138254 0.07552349 0.20393396];[4.31057167 2.47094176 8.32370631];0.54
Dhrs7b;[ 0.80662766  6.28680289 11.63342603];[0.80662766 0.51006145 1.24612825];[1.85045185 1.06405257 3.59817198];1.32
Tmem11;[ 0.60488287 10.72706961 52.80469243];[0.60488287 0.47563392 0.76857649];[4.92256454 3.58399947 6.86780428];2.82
Map2k3;[  1.53300724 332.3238135  722.32371561];[1.53300724 1.26420322 1.88044676];[2.17355388 1.74255663 2.71326701];3.32
Usp22;[  1.57943401 181.67165505 244.46497817];[1.57943401 1.2712167  2.04342384];[1.34564183 1.03804935 1.70737185];2.11
Aldh3a1;[0.02408388 2.71959602 5.14074231];[0.00120419        nan        nan];[1.89025953        nan        nan];0.05
Aldh3a2;[7.00617627e-01 5.45885470e+02 1.20473293e+03];[0.77067939 0.62985101 0.97984567];[1.94210149 1.48887626 2.56192325];1.54
Mapk7;[  0.59016363 161.95274755 215.35705502];[0.59016363 0.43987392 0.81801185];[1.3297524  0.92473197 1.87132746];0.78
B9d1;[ 0.58396792  4.00431676 12.91723474];[0.58396792 0.4175984  0.84327294];[3.2258274  1.93320022 5.15793366];1.64
Epn2;[0.18030867 1.00966743 3.54269459];[0.18030867 0.07823873 0.32878968];[3.50877378 1.66956781 9.18005393];0.54
Ulk2;[ 0.11931412 59.01606299 82.74193624];[0.11931412 0.07032427 0.24385271];[1.35996327 0.61179449 3.17710899];0.17
Akap10;[0.35686727 4.18749194 7.49994418];[0.35686727 0.20288654 0.5925137 ];[1.79103489 0.96093674 3.6635017 ];0.59
Specc1;[0.30604619 1.55680236 5.94531722];[0.30604619 0.19179103 0.47202636];[3.8189287  2.15512521 6.92194153];0.98
Adora2b;[  0.30854757  67.92123152 131.53523133];[0.29312019 0.21599338 0.39844628];[2.11087754 1.45629113 3.07294304];0.59
Zswim7;[ 0.38370975  3.37799042 18.43099262];[0.38370975 0.29055311 0.50687929];[5.45620039 3.77002189 7.91930859];1.88
Ttc19;[0.5949728  5.96734751 8.12881266];[0.5949728  0.31353792 0.99632202];[1.3622154  0.72324435 3.25983404];0.74
Ncor1;[ 0.49210188  1.20710502 10.95585846];[0.49210188 0.38065904 0.63909281];[ 9.07614358  6.29536542 12.8740391 ];3.17
Trpv2;[ 0.60812355 14.80890404 19.65985053];[0.63852973 0.39011373 0.907809  ];[1.24791541 0.82514732 2.43469717];0.78
2410006H16Rik;[   1.58461479  365.16024665 1274.98587778];[1.58461479 1.33611832 1.89684175];[3.49157908 2.86669937 4.2326685 ];5.51
Mmgt2;[0.5167573  1.6329872  3.87497733];[0.5167573  0.21918989 1.02253635];[2.37293797 0.9128077  7.44525134];0.93
Trim16;[  0.94729846 211.05980614 531.88493451];[0.94729846 0.77298373 1.18520195];[2.52006739 1.97354222 3.20764223];2.38
Pmp22;[  1.03179545  85.72308372 295.050446  ];[1.03179545 0.86485644 1.23888851];[3.44190191 2.79204495 4.2447539 ];3.51
Cox10;[0.44476989 2.07905544 5.75364082];[0.44476989 0.26268843 0.73291614];[2.7674302  1.38920157 5.58105557];1.01
2810001G20Rik;[  0.42863759  91.12997019 103.92336475];[0.47150135 0.31266921 0.66107121];[1.07196307 0.70501054 1.63894308];0.49
Map2k4;[  1.02638308 312.67913985 989.97088516];[1.07770223 0.87700237 1.31506452];[3.07110912 2.42920459 3.84914141];3.24
Gas7;[  0.23352412  91.4417493  138.46350075];[0.23352412 0.1406257  0.34246788];[1.51422629 0.96730847 2.38726271];0.35
Stx8;[ 0.82680863 79.91949061 86.35939313];[0.82680863 0.59226458 1.2044916 ];[1.08057987 0.73655478 1.57867446];0.88
Ntn1;[0.07475249 1.93887542 3.80125007];[0.00373762        nan        nan];[1.96054374        nan        nan];0.14
Pik3r5;[0.00766441 1.32615179 4.72957616];[1.04083409e-17            nan            nan];[3.56639125        nan        nan];0.03
Myh10;[  1.07353789 178.92788569 311.96816586];[1.07353789 0.84113626 1.3624716 ];[1.74354134 1.3463701  2.29826612];1.86
Ndel1;[ 0.90622231 20.2987798  88.67814032];[0.86091119 0.66796632 1.09579566];[5.41711842 3.42047229 7.01159598];3.79
Slc25a35;[ 0.19683342 44.44186103 79.3150123 ];[0.19683342 0.13555759 0.29006456];[1.78469152 1.13261949 2.8711716 ];0.35
Aurkb;[ 0.10312508  4.55446321 25.57728256];[0.10312508 0.07061782 0.14544266];[5.61587204 3.44167305 9.27195544];0.57
2310047M10Rik;[0.31682358 2.49042174 3.90843039];[0.31682358 0.07895258 0.64332135];[1.56938494        nan        nan];0.44
Tmem107;[ 0.83155402 24.34624879 29.42269117];[0.83155402 0.486902   1.20921677];[1.20851025 0.81022824 2.60146672];0.97
Chd3;[4.45241041e-01 4.97731059e+02 4.57327736e+03];[0.37845488 0.31875433 0.55990258];[16.07943736 11.9212247  22.85667411];4.09
Wrap53;[0.03942523 0.12509059 1.7068596 ];[0.00197126        nan        nan];[13.6449877        nan        nan];0.41
Trp53;[  1.49388729 284.35190508 812.21765982];[1.49388729 1.24914491 1.80079025];[2.85638199 2.32806198 3.5097212 ];4.24
Fxr2;[  1.33120293 159.02302177 203.47823281];[1.33120293 1.01717482 1.80687215];[1.27955205 0.93323183 1.71929025];1.69
Mpdu1;[  0.31081378  79.52932471 216.67188044];[0.31081378 0.23614638 0.41109987];[2.72442751 1.94624522 3.83418009];0.84
Zbtb4;[  0.35621706  39.12056338 157.54801996];[0.33840621 0.24270592 0.4617023 ];[4.02724313 2.90895399 5.72440992];1.42
